iter	Logloss
0	0.637567837
1	0.5826632637
2	0.531380138
3	0.4814698219
4	0.4420624318
5	0.3971894896
6	0.3613912957
7	0.327845054
8	0.3037187901
9	0.2743863846
10	0.2508815397
11	0.232948485
12	0.2135999478
13	0.1925524884
14	0.1725587248
15	0.1578190727
16	0.1451119868
17	0.1357106822
18	0.1251539417
19	0.1150016755
20	0.1060217722
21	0.09690178407
22	0.08947235814
23	0.08245778618
24	0.07599776095
25	0.06895878233
26	0.06330030748
27	0.05800294608
28	0.05372265197
29	0.05031251173
30	0.04626356667
31	0.04306829969
32	0.0399014122
33	0.03689548731
34	0.03419275538
35	0.03200786772
36	0.02975621872
37	0.02821355384
38	0.02655992339
39	0.0249450706
40	0.02354050789
41	0.02225687797
42	0.02075041248
43	0.01949222497
44	0.01830909957
45	0.01692255702
46	0.01615235651
47	0.01539713365
48	0.014462744
49	0.01368265302
50	0.01297585321
51	0.01243710533
52	0.01169784223
53	0.01117462871
54	0.01064150161
55	0.01025544421
56	0.009742101735
57	0.009183575692
58	0.008796614789
59	0.008427135827
60	0.008096882112
61	0.007688213046
62	0.007444186255
63	0.007087503402
64	0.006734458613
65	0.006442347695
66	0.006148132915
67	0.005891505143
68	0.005633062038
69	0.005405148523
70	0.005258691018
71	0.005043115848
72	0.004851384608
73	0.004685452734
74	0.004527791583
75	0.004413269325
76	0.004232720461
77	0.004131630557
78	0.003998483336
79	0.003860313201
80	0.003743713899
81	0.00364272757
82	0.003528008566
83	0.003435657322
84	0.003342842996
85	0.003250611972
86	0.003148357776
87	0.003071588061
88	0.002968915405
89	0.002888165229
90	0.002801457653
91	0.002743094193
92	0.002655324976
93	0.002604131988
94	0.00253932724
95	0.002459051935
96	0.002389790004
97	0.002321950839
98	0.002276207549
99	0.002229169112
100	0.002197567708
101	0.002141715705
102	0.00210479939
103	0.002072402218
104	0.002028400048
105	0.001992436944
106	0.00195478289
107	0.001916369711
108	0.001880810619
109	0.001851206151
110	0.001815237614
111	0.001794919157
112	0.001756362291
113	0.001725741843
114	0.001692292508
115	0.001648551587
116	0.001621754735
117	0.001599496447
118	0.001576606537
119	0.00155824236
120	0.001534414729
121	0.001501996403
122	0.001475307519
123	0.0014527014
124	0.001434310866
125	0.001404357874
126	0.001379680375
127	0.001357440004
128	0.00133589148
129	0.001314192681
130	0.001288807036
131	0.001274612899
132	0.001253701545
133	0.001234990462
134	0.00122037509
135	0.001209542047
136	0.001191179835
137	0.001179785107
138	0.001169411331
139	0.001153367066
140	0.001136675807
141	0.001124844701
142	0.001112831645
143	0.001100869684
144	0.001088550875
145	0.001075231459
146	0.001051606007
147	0.001041038837
148	0.001025840164
149	0.001014937994
150	0.001004472549
151	0.0009964890843
152	0.0009820120821
153	0.0009733550343
154	0.0009637746567
155	0.0009528484429
156	0.0009368355632
157	0.0009246922879
158	0.0009086198759
159	0.0008958596025
160	0.0008900424802
161	0.0008805768325
162	0.0008720971681
163	0.000864732493
164	0.0008540177058
165	0.0008452106133
166	0.0008343796512
167	0.0008255857368
168	0.0008165250248
169	0.0008059383189
170	0.0007980910848
171	0.0007860995882
172	0.0007754605169
173	0.0007671208981
174	0.0007671208981
175	0.0007606444692
176	0.0007515749719
177	0.0007443603415
178	0.000735269112
179	0.0007278303394
180	0.0007196543479
181	0.000719651169
182	0.0007134768524
183	0.0007057059123
184	0.0007056987453
185	0.0006995000956
186	0.0006908039761
187	0.0006907980229
188	0.0006853183856
189	0.000685310236
190	0.0006765535437
191	0.0006646572411
192	0.0006646640036
193	0.0006559400252
194	0.0006559284655
195	0.0006559228591
196	0.0006559228591
